tier,published,title,file,words,url
combat-news,,Discover Update 50’s Player Experience Improvements,combat-news_Discover_Update_50_s_Player_Experience_Improvements.md,719,https://www.elderscrollsonline.com/en-us/news/post/69857
combat-news,,Diving into the Dragonknight Class PTS Updates,combat-news_Diving_into_the_Dragonknight_Class_PTS_Updates.md,2721,https://www.elderscrollsonline.com/en-us/news/post/69353
combat-news,,Dominate Your Rivals and Earn Unique Rewards During the Whitestrake’s Mayhem PvP Event,combat-news_Dominate_Your_Rivals_and_Earn_Unique_Rewards_During_the_Whit.md,1023,https://www.elderscrollsonline.com/en-us/news/post/62567
combat-news,,Don’t Miss Out on Week 4’s Set Sail for High Isle Rewards & Streams!,combat-news_Don_t_Miss_Out_on_Week_4_s_Set_Sail_for_High_Isle_Rewards_St.md,248,https://www.elderscrollsonline.com/en-us/news/post/62375
combat-news,,Don’t Miss the Infinite Archive & Update 40 Preview Livestream,combat-news_Don_t_Miss_the_Infinite_Archive_Update_40_Preview_Livestream.md,534,https://www.elderscrollsonline.com/en-us/news/post/64679
combat-news,,ESO 2024 Global Reveal—Introducing Scribing,combat-news_ESO_2024_Global_Reveal_Introducing_Scribing.md,697,https://www.elderscrollsonline.com/en-us/news/post/65361
combat-news,,ESO Devs Talk Update 40’s Group Finder and Grand Master Crafting Station,combat-news_ESO_Devs_Talk_Update_40_s_Group_Finder_and_Grand_Master_Craf.md,945,https://www.elderscrollsonline.com/en-us/news/post/64897
combat-news,,ESO LIVE: JANUARY 29 @ 11AM EST—First Look at Scions of Ithelia & Update 41,combat-news_ESO_LIVE_JANUARY_29_11AM_EST_First_Look_at_Scions_of_Ithelia.md,210,https://www.elderscrollsonline.com/en-us/news/post/65463
combat-news,,ESO Live: July 10 @ 12PM EDT—Update 39 Preview Stream,combat-news_ESO_Live_July_10_12PM_EDT_Update_39_Preview_Stream.md,181,https://www.elderscrollsonline.com/en-us/news/post/64391
combat-news,,ESO Live: July 11 at 12PM EDT—Delving the Lost Depths & Update 35,combat-news_ESO_Live_July_11_at_12PM_EDT_Delving_the_Lost_Depths_Update_.md,273,https://www.elderscrollsonline.com/en-us/news/post/62413
combat-news,,ESO Live: July 3 @ 1PM EDT—Update 43 Developer Preview,combat-news_ESO_Live_July_3_1PM_EDT_Update_43_Developer_Preview.md,189,https://www.elderscrollsonline.com/en-us/news/post/66329
combat-news,,ESO Live: September 16 at 2:30PM EDT—Firesong & Update 36 Preview,combat-news_ESO_Live_September_16_at_2_30PM_EDT_Firesong_Update_36_Previ.md,265,https://www.elderscrollsonline.com/en-us/news/post/62819
combat-news,,ESO’s Developers Share Subclassing System Secrets,combat-news_ESO_s_Developers_Share_Subclassing_System_Secrets.md,1053,https://www.elderscrollsonline.com/en-us/news/post/68091
combat-news,,ESO’s Devs Share Insights into Update 49’s Player Experience Improvements,combat-news_ESO_s_Devs_Share_Insights_into_Update_49_s_Player_Experience.md,874,https://www.elderscrollsonline.com/en-us/news/post/69461
combat-news,,Earn Greater Rewards & Glory with the New PvP Veterancy System,combat-news_Earn_Greater_Rewards_Glory_with_the_New_PvP_Veterancy_System.md,514,https://www.elderscrollsonline.com/en-us/news/post/69891
combat-news,,Enjoy Community-Requested Upgrades to Your Player Experience with Update 49,combat-news_Enjoy_Community-Requested_Upgrades_to_Your_Player_Experience.md,1401,https://www.elderscrollsonline.com/en-us/news/post/69241
combat-news,,Fallen Banners & Update 45 Now Live on All Platforms,combat-news_Fallen_Banners_Update_45_Now_Live_on_All_Platforms.md,912,https://www.elderscrollsonline.com/en-us/news/post/67679
combat-news,,Fallen Banners & Update 45 Now Live on the Public Test Server,combat-news_Fallen_Banners_Update_45_Now_Live_on_the_Public_Test_Server.md,223,https://www.elderscrollsonline.com/en-us/news/post/67429
combat-news,,Feast of Shadows & Update 47 Now Live on All Platforms,combat-news_Feast_of_Shadows_Update_47_Now_Live_on_All_Platforms.md,806,https://www.elderscrollsonline.com/en-us/news/post/68561
combat-news,,Firesong DLC & Update 36 Now Available on the PC/Mac Public Test Server (PTS),combat-news_Firesong_DLC_Update_36_Now_Available_on_the_PC_Mac_Public_Te.md,230,https://www.elderscrollsonline.com/en-us/news/post/62847
combat-news,,Five Ways to Get Ready for Seasons of the Worm Cult Part 1 & Update 46,combat-news_Five_Ways_to_Get_Ready_for_Seasons_of_the_Worm_Cult_Part_1_U.md,637,https://www.elderscrollsonline.com/en-us/news/post/68049
combat-news,,Get Your Claws into the Season Zero Werewolf Update,combat-news_Get_Your_Claws_into_the_Season_Zero_Werewolf_Update.md,1357,https://www.elderscrollsonline.com/en-us/news/post/69937
combat-news,,Get Your First Look at Update 48 & More in a New Preview Livestream,combat-news_Get_Your_First_Look_at_Update_48_More_in_a_New_Preview_Lives.md,196,https://www.elderscrollsonline.com/en-us/news/post/68671
combat-news,,Get Your First Look at the New Dungeons and More during the Update 47 Preview Livestream,combat-news_Get_Your_First_Look_at_the_New_Dungeons_and_More_during_the_.md,203,https://www.elderscrollsonline.com/en-us/news/post/68389
combat-news,,Get a Glimpse of ESO’s End-of-Year Adventures in the Update 44 Preview Livestream,combat-news_Get_a_Glimpse_of_ESO_s_End-of-Year_Adventures_in_the_Update_.md,170,https://www.elderscrollsonline.com/en-us/news/post/66609
combat-news,,Gold Road Chapter & Update 42 Now Live on the PC/Mac Public Test Server!,combat-news_Gold_Road_Chapter_Update_42_Now_Live_on_the_PC_Mac_Public_Te.md,248,https://www.elderscrollsonline.com/en-us/news/post/65909
combat-news,,Golden Pursuits—Battle Throughout Cyrodiil to Claim Bonus Rewards,combat-news_Golden_Pursuits_Battle_Throughout_Cyrodiil_to_Claim_Bonus_Re.md,320,https://www.elderscrollsonline.com/en-us/news/post/67737
combat-news,,Golden Pursuits—Scribing for All!,combat-news_Golden_Pursuits_Scribing_for_All.md,333,https://www.elderscrollsonline.com/en-us/news/post/68301
combat-news,,Infinite Archive & Update 40 Now Available on the PC/Mac Public Test Server!,combat-news_Infinite_Archive_Update_40_Now_Available_on_the_PC_Mac_Publi.md,233,https://www.elderscrollsonline.com/en-us/news/post/64751
combat-news,,Infinite Archive & Update 40 Now Live on All Platforms,combat-news_Infinite_Archive_Update_40_Now_Live_on_All_Platforms.md,1214,https://www.elderscrollsonline.com/en-us/news/post/64849
